customer_id,Final_Cluster
1,Vegetarians
2,Vegetarians
3,High spenders
4,Karens
5,Demanding foodies
6,Vegetarians
7,Vegetarians
8,Pet lovers
9,Large families
10,Karens
12,College students
13,High spenders
14,Karens
15,Demanding foodies
16,Vegetarians
18,Large families
19,High spenders
20,Large families
21,Karens
22,Karens
23,Demanding foodies
24,Karens
27,Karens
28,Promo Hunters
29,Tech enthusiasts
30,Demanding foodies
33,Pet lovers
34,Vegetarians
35,High spenders
36,Karens
37,High spenders
38,Karens
39,Large families
40,Karens
41,Karens
42,Tech enthusiasts
43,Vegetarians
44,Large families
45,Karens
46,Karens
47,Large families
49,Large families
50,Pet lovers
51,Promo Hunters
52,Promo Hunters
53,Pet lovers
54,High spenders
55,Vegetarians
56,College students
57,Vegetarians
58,Pet lovers
59,High spenders
60,Vegetarians
61,High spenders
62,Vegetarians
64,Large families
65,Karens
67,Vegetarians
68,Demanding foodies
70,Demanding foodies
71,Demanding foodies
72,Vegetarians
74,Vegetarians
76,Pet lovers
77,Karens
78,High spenders
79,Karens
82,Karens
84,Vegetarians
85,High spenders
86,Vegetarians
87,Large families
88,Vegetarians
89,Demanding foodies
90,Karens
92,Pet lovers
94,Karens
95,Vegetarians
96,Demanding foodies
97,Karens
98,High spenders
99,Demanding foodies
100,Large families
101,Large families
102,High spenders
103,Pet lovers
104,Large families
105,Vegetarians
107,Promo Hunters
108,Large families
109,Promo Hunters
110,Tech enthusiasts
111,Karens
112,Pet lovers
113,Tech enthusiasts
115,Promo Hunters
116,Vegetarians
117,Vegetarians
118,Pet lovers
121,Large families
122,Karens
124,Pet lovers
125,Pet lovers
126,Vegetarians
127,Vegetarians
128,Promo Hunters
130,Demanding foodies
131,College students
132,Vegetarians
133,Large families
134,Tech enthusiasts
135,Large families
136,Promo Hunters
137,Tech enthusiasts
138,Pet lovers
139,Promo Hunters
141,Promo Hunters
143,Pet lovers
144,Karens
145,Demanding foodies
146,Vegetarians
147,Pet lovers
148,Vegetarians
149,Vegetarians
150,Karens
151,Large families
152,Vegetarians
154,High spenders
155,Large families
156,Karens
157,Pet lovers
158,High spenders
159,Pet lovers
160,Demanding foodies
161,Demanding foodies
162,Demanding foodies
164,Karens
165,Demanding foodies
166,High spenders
167,Demanding foodies
168,Karens
169,Large families
170,Promo Hunters
173,Karens
174,Karens
175,Karens
176,Vegetarians
177,Large families
178,Promo Hunters
179,Pet lovers
180,High spenders
181,Large families
183,Tech enthusiasts
184,Large families
185,Tech enthusiasts
186,College students
187,Large families
189,Vegetarians
190,Tech enthusiasts
191,Vegetarians
192,High spenders
193,Karens
194,Vegetarians
195,Demanding foodies
196,Tech enthusiasts
197,Pet lovers
198,Promo Hunters
199,Promo Hunters
200,High spenders
201,Promo Hunters
202,Karens
203,Demanding foodies
204,Vegetarians
205,Large families
206,College students
207,Vegetarians
208,High spenders
209,Promo Hunters
210,Promo Hunters
213,High spenders
214,Large families
215,High spenders
216,Large families
218,Karens
220,Demanding foodies
222,Karens
223,Pet lovers
224,Large families
225,Large families
226,Vegetarians
228,Demanding foodies
229,Demanding foodies
231,High spenders
233,Large families
234,Promo Hunters
235,Demanding foodies
236,Pet lovers
237,Pet lovers
238,College students
240,Demanding foodies
241,High spenders
242,Karens
243,High spenders
244,Karens
246,Vegetarians
247,Karens
248,Demanding foodies
249,Karens
250,High spenders
251,Large families
252,Large families
253,Large families
254,High spenders
255,Karens
257,Large families
258,Promo Hunters
259,Large families
260,Vegetarians
261,Tech enthusiasts
262,Tech enthusiasts
263,Large families
264,Karens
265,Large families
267,Promo Hunters
268,Large families
270,Large families
271,Vegetarians
272,High spenders
273,Pet lovers
274,Tech enthusiasts
275,Demanding foodies
277,Pet lovers
278,Pet lovers
280,Promo Hunters
281,Karens
282,Demanding foodies
283,College students
284,Demanding foodies
285,Vegetarians
286,Large families
287,Vegetarians
288,Karens
289,Karens
290,Karens
291,Large families
292,Promo Hunters
294,Vegetarians
295,Tech enthusiasts
296,Promo Hunters
297,High spenders
298,Vegetarians
299,Vegetarians
300,Vegetarians
302,High spenders
303,Promo Hunters
305,Pet lovers
306,Demanding foodies
307,Demanding foodies
308,Vegetarians
309,Demanding foodies
310,Vegetarians
311,Large families
312,Demanding foodies
313,Demanding foodies
315,High spenders
316,Demanding foodies
317,Pet lovers
318,Pet lovers
319,Large families
320,Karens
321,Pet lovers
322,High spenders
323,Vegetarians
324,Demanding foodies
327,High spenders
328,Karens
329,Karens
330,Large families
332,Karens
334,Large families
335,Karens
336,High spenders
337,Tech enthusiasts
338,Demanding foodies
339,Karens
340,Karens
341,High spenders
343,Large families
344,Karens
345,Karens
346,Tech enthusiasts
347,Demanding foodies
348,High spenders
350,Vegetarians
351,Vegetarians
352,Pet lovers
354,Pet lovers
355,Vegetarians
356,Promo Hunters
357,Tech enthusiasts
358,Vegetarians
360,Vegetarians
361,Tech enthusiasts
362,Tech enthusiasts
363,Karens
364,Demanding foodies
366,Demanding foodies
367,Demanding foodies
368,High spenders
369,Promo Hunters
370,High spenders
371,Vegetarians
372,Promo Hunters
373,Demanding foodies
374,Demanding foodies
376,Karens
377,Demanding foodies
378,Demanding foodies
379,Large families
380,Vegetarians
382,Large families
383,Promo Hunters
384,Vegetarians
385,Karens
386,Tech enthusiasts
387,Large families
388,College students
389,Demanding foodies
390,Pet lovers
391,Demanding foodies
392,Vegetarians
394,Karens
395,Karens
396,Vegetarians
397,Pet lovers
398,Pet lovers
399,Karens
400,Large families
401,Karens
402,High spenders
403,Promo Hunters
404,Large families
405,Promo Hunters
406,Large families
408,Pet lovers
410,Large families
411,Promo Hunters
412,Promo Hunters
413,Promo Hunters
415,Pet lovers
418,Karens
419,Demanding foodies
420,Promo Hunters
421,Large families
422,Demanding foodies
424,Large families
425,Demanding foodies
426,Large families
427,College students
428,Promo Hunters
429,Vegetarians
431,Karens
433,Large families
434,Promo Hunters
435,High spenders
436,College students
437,Large families
439,Demanding foodies
440,Karens
441,Large families
443,Large families
445,Demanding foodies
447,Vegetarians
448,Promo Hunters
449,Vegetarians
450,High spenders
452,Karens
453,Promo Hunters
454,High spenders
455,Large families
458,Large families
459,High spenders
460,Large families
461,Vegetarians
462,Promo Hunters
463,Large families
464,Demanding foodies
465,Large families
466,Karens
467,High spenders
468,Tech enthusiasts
469,Karens
470,Tech enthusiasts
471,High spenders
472,Vegetarians
473,Promo Hunters
474,Pet lovers
475,Vegetarians
476,Pet lovers
477,Promo Hunters
478,Promo Hunters
479,Karens
480,Tech enthusiasts
481,Karens
483,High spenders
484,Demanding foodies
487,Karens
488,Vegetarians
489,Large families
490,Large families
491,Karens
492,Pet lovers
493,High spenders
494,Promo Hunters
495,Tech enthusiasts
496,Vegetarians
497,Vegetarians
500,Karens
501,Large families
502,Large families
503,Karens
504,Promo Hunters
505,High spenders
506,High spenders
507,Large families
508,Karens
509,High spenders
510,Tech enthusiasts
511,Karens
512,Tech enthusiasts
513,High spenders
514,Pet lovers
515,Promo Hunters
517,Vegetarians
518,Pet lovers
519,High spenders
520,Pet lovers
521,Pet lovers
522,Pet lovers
523,Vegetarians
524,High spenders
526,Promo Hunters
527,Karens
528,Demanding foodies
530,Pet lovers
531,Vegetarians
532,Vegetarians
533,Demanding foodies
535,Large families
536,Large families
537,Vegetarians
538,Vegetarians
539,Promo Hunters
540,College students
541,Vegetarians
542,High spenders
543,Tech enthusiasts
544,Karens
545,Pet lovers
546,High spenders
548,Pet lovers
