Name,Links,Cost,Cuisines,Timings,Open_Hours,Open_Days
Beyond Flavours,https://www.zomato.com/hyderabad/beyond-flavours-gachibowli,800,"['Chinese', 'Continental', 'Kebab', 'European', 'SouthIndian', 'NorthIndian']","12PM to 3:30PM, 6:30PM to 11:30PM (Mon-Sun)","12PM to 3:30PM, 6:30PM to 11:30PM","Mon, Tue, Wed, Thu, Fri, Sat, Sun"
Paradise,https://www.zomato.com/hyderabad/paradise-gachibowli,800,"['Biryani', 'NorthIndian', 'Chinese']",11 AM to 11 PM,11 AM to 11 PM,
Flechazo,https://www.zomato.com/hyderabad/flechazo-gachibowli,1300,"['Asian', 'Mediterranean', 'NorthIndian', 'Desserts']","11:30 AM to 4:30 PM, 6:30 PM to 11 PM","11:30 AM to 4:30 PM, 6:30 PM to 11 PM",
Shah Ghouse Hotel & Restaurant,https://www.zomato.com/hyderabad/shah-ghouse-hotel-restaurant-gachibowli,800,"['Biryani', 'NorthIndian', 'Chinese', 'Seafood', 'Beverages']",12 PM to 2 AM,12 PM to 2 AM,
Over The Moon Brew Company,https://www.zomato.com/hyderabad/over-the-moon-brew-company-gachibowli,1200,"['Asian', 'Continental', 'NorthIndian', 'Chinese', 'Mediterranean']","12PM to 11PM (Mon, Tue, Wed, Thu, Sun), 12PM to 12AM (Fri-Sat)",12PM to 11PM. 12PM to 12AM,"Mon, Tue, Wed, Thu, Sun. Fri, Sat"
The Fisherman's Wharf,https://www.zomato.com/hyderabad/the-fishermans-wharf-gachibowli,1500,"['Seafood', 'Goan', 'NorthIndian', 'Continental', 'Asian']","12PM to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12PM to 3:30PM, 4PM to 6:30PM, 7PM to 12AM (Fri-Sat)","12PM to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM. 12PM to 3:30PM, 4PM to 6:30PM, 7PM to 12AM","Mon, Tue, Wed, Thu, Sun. Fri, Sat"
eat.fit,https://www.zomato.com/hyderabad/eat-fit-gachibowli,500,"['HealthyFood', 'NorthIndian', 'Continental', 'SouthIndian']",7 AM to 10 PM,7 AM to 10 PM,
Shah Ghouse Spl Shawarma,https://www.zomato.com/hyderabad/shah-ghouse-spl-shawarma-gachibowli,300,['Lebanese'],12 PM to 12 AM,12 PM to 12 AM,
Hyper Local,https://www.zomato.com/hyderabad/hyper-local-gachibowli,1000,"['American', 'Chinese', 'NorthIndian', 'Kebab', 'SouthIndian']",12 PM to 12 AM,12 PM to 12 AM,
Cream Stone,https://www.zomato.com/hyderabad/cream-stone-gachibowli,350,"['IceCream', 'Desserts']","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)",10 AM to 1 AM. 10 AM to 1:30 AM,"Mon, Tue, Wed, Thu. Fri, Sat, Sun"
